WA,34033.0
DE,16856.0
DC,49222.0
WI,25765.0
WV,11880.6666667
HI,24187.0
FL,15672.3333333
WY,34839.0
NH,29868.6666667
NJ,29712.0
NM,32000.3333333
TX,28948.8333333
LA,28838.0
NC,37748.0
ND,19843.6666667
NE,31040.6666667
TN,36558.5
NY,24817.3333333
PA,24019.4
RI,26010.6666667
NV,26499.3333333
VA,37742.8
CO,40891.0
AK,30101.8
AL,27558.0
AR,21146.75
VT,26819.75
IL,17903.5
GA,23937.6
IA,35154.0
MA,17807.3333333
AZ,31260.6666667
CA,32654.0
ID,25989.2
CT,24427.0
ME,18629.125
MD,39868.0
OK,27552.75
OH,19253.0
UT,30782.3333333
MO,30595.25
MN,4850.0
MI,26004.0
KS,21848.6666667
MT,24652.3333333
MS,12280.0
SC,39141.0
KY,29797.0
OR,23553.0
SD,24639.6666667
